post_id,upload_date,media_type,likes,comments,shares,saves,reach,impressions,caption_length,hashtags_count,followers_gained,traffic_source,engagement_rate,content_category
IG0000047,2025-05-17 09:25:22.954916,Reel,55951,271,4931,6761,791098,1024309,1189,5,49,Hashtags,6.63,Travel
IG0000048,2024-12-08 09:25:22.954916,Carousel,92643,1642,160,12118,312299,510800,844,7,335,Home Feed,20.86,Fitness
IG0000049,2025-07-23 09:25:22.954916,Photo,71897,4958,48,9142,169872,370142,1867,0,885,External,23.25,Technology
IG0000050,2025-04-15 09:25:22.954916,Video,56382,9141,713,4160,1483982,1496684,802,27,370,External,4.7,Beauty
IG0000051,2025-03-12 09:25:22.954916,Photo,121423,4768,3955,13871,1593846,1782426,1968,21,426,Reels Feed,8.08,Food
IG0000052,2025-10-15 09:25:22.954916,Photo,75538,2363,667,5729,1314525,1540196,1241,2,870,Hashtags,5.47,Fashion
IG0000053,2025-05-09 09:25:22.954916,Photo,94378,3201,3358,4704,735516,1001758,1859,9,514,External,10.55,Fitness
IG0000054,2025-04-22 09:25:22.954916,Carousel,98569,2493,2853,14218,1265707,1526053,1972,30,947,Profile,7.74,Travel
IG0000055,2025-02-19 09:25:22.954916,Photo,2188,7455,3571,9184,1482516,1654011,2094,5,637,External,1.35,Beauty
IG0000056,2025-07-23 09:25:22.954916,Reel,4739,502,2253,4011,221133,255290,1666,18,576,External,4.51,Fitness
IG0000057,2025-04-21 09:25:22.954916,Photo,60395,1113,1287,3334,1902423,1963003,1054,6,621,Home Feed,3.37,Travel
IG0000058,2025-02-15 09:25:22.954916,Video,71753,3088,2025,7848,1016814,1338686,386,0,669,Reels Feed,6.33,Lifestyle
IG0000059,2025-02-11 09:25:22.954916,Video,191385,1642,1593,7165,1943435,2166659,2084,10,685,External,9.31,Lifestyle
IG0000060,2025-10-14 09:25:22.954916,Reel,59042,8574,1978,11350,1073192,1226471,1565,13,574,Explore,6.6,Photography
IG0000061,2024-12-20 09:25:22.954916,Carousel,133031,2984,2589,9452,316800,804931,2137,6,80,Hashtags,18.39,Fitness
IG0000062,2025-08-23 09:25:22.954916,Reel,71357,1052,4246,1060,1238595,1391880,1742,9,92,Reels Feed,5.58,Lifestyle
IG0000063,2024-12-17 09:25:22.954916,Carousel,93544,7310,2118,4111,1727309,1928338,289,13,718,Profile,5.55,Travel
IG0000064,2025-03-20 09:25:22.954916,Video,171840,2616,1547,13246,885241,978718,928,27,493,Explore,19.34,Photography
IG0000065,2025-06-27 09:25:22.954916,Photo,143899,2074,1844,8733,1730179,1798718,1022,1,360,Profile,8.7,Travel
IG0000066,2025-07-06 09:25:22.954916,Photo,159218,772,1580,11401,104738,323527,657,16,886,Hashtags,53.46,Photography
IG0000067,2025-07-04 09:25:22.954916,Reel,197177,9805,380,1748,933713,1259141,1712,13,335,External,16.61,Fitness
IG0000068,2025-04-22 09:25:22.954916,Carousel,21996,273,641,8360,974583,1361013,1175,10,524,Home Feed,2.3,Beauty
IG0000069,2024-12-31 09:25:22.954916,Photo,155671,5884,3487,6485,1678552,1764448,124,20,816,Reels Feed,9.72,Technology
IG0000070,2025-06-17 09:25:22.954916,Photo,5576,8050,1575,2781,1888156,2040636,1024,10,358,External,0.88,Comedy
IG0000071,2025-02-08 09:25:22.954916,Carousel,106477,3839,2184,13508,1140404,1404649,111,18,244,Reels Feed,8.97,Beauty
IG0000072,2025-05-09 09:25:22.954916,Video,113592,2949,4820,7470,156274,187173,1710,27,555,Home Feed,68.83,Music
IG0000073,2025-07-26 09:25:22.954916,Carousel,104651,5249,810,8738,619213,1085157,49,10,228,External,11.01,Travel
IG0000074,2025-10-30 09:25:22.954916,Reel,83034,9183,526,4208,888730,1321805,2097,29,741,External,7.33,Music
IG0000075,2025-01-23 09:25:22.954916,Video,85288,6649,1946,14209,1915192,2083888,1854,15,215,Hashtags,5.19,Beauty
IG0000076,2025-04-12 09:25:22.954916,Photo,107296,2538,3498,8725,179126,485861,1904,3,145,Reels Feed,25.12,Photography
IG0000077,2025-06-29 09:25:22.954916,Video,7473,3919,1702,12228,317075,606371,1449,19,974,Profile,4.18,Comedy
IG0000078,2024-12-14 09:25:22.954916,Photo,135256,1370,1716,355,815701,1060272,187,5,73,Reels Feed,13.08,Comedy
IG0000079,2025-10-20 09:25:22.954916,Reel,117267,7780,1588,13859,1572598,1797500,1364,8,730,Explore,7.82,Fashion
IG0000080,2025-06-02 09:25:22.954916,Carousel,65028,8681,2275,12134,1947239,2239263,1785,4,550,Hashtags,3.94,Comedy
IG0000081,2025-02-21 09:25:22.954916,Photo,141610,802,3811,14371,64268,443038,1421,13,290,External,36.25,Technology
IG0000082,2025-04-11 09:25:22.954916,Photo,66834,2239,371,14022,1485851,1867513,591,17,52,Hashtags,4.47,Comedy
IG0000083,2025-04-27 09:25:22.954916,Video,102350,9235,3337,3119,1730370,2163241,1374,19,632,External,5.46,Beauty
IG0000084,2025-06-26 09:25:22.954916,Carousel,18145,918,1334,14380,73681,101181,900,17,214,Profile,34.37,Fashion
IG0000085,2025-01-03 09:25:22.954916,Carousel,156766,7395,1090,1285,1464572,1684208,1602,22,109,Reels Feed,9.89,Beauty
IG0000086,2025-06-21 09:25:22.954916,Carousel,123729,4381,3797,12094,1098291,1338284,1033,13,615,Home Feed,10.76,Beauty
IG0000087,2025-07-09 09:25:22.954916,Carousel,154182,392,4983,4489,847762,1154033,619,29,858,External,14.22,Food
IG0000088,2025-08-11 09:25:22.954916,Video,95680,2329,4662,7884,1306688,1535537,1439,27,265,Reels Feed,7.2,Fashion
IG0000089,2025-04-12 09:25:22.954916,Carousel,160663,4139,3793,1658,87556,406434,1433,21,550,Explore,41.89,Beauty
IG0000090,2025-03-06 09:25:22.954916,Reel,55683,5309,3403,9043,607197,618403,583,25,104,Profile,11.88,Food
IG0000091,2025-06-02 09:25:22.954916,Video,195724,8410,591,1447,471829,846725,35,25,852,Reels Feed,24.35,Food
IG0000092,2025-06-16 09:25:22.954916,Carousel,87305,6399,1543,1558,1621801,1625567,331,12,749,Profile,5.96,Fashion
IG0000093,2025-08-03 09:25:22.954916,Photo,167420,1161,4152,7019,1006580,1220283,1371,11,481,External,14.73,Music
IG0000094,2025-08-30 09:25:22.954916,Carousel,29728,5605,4181,8129,1016916,1401231,1500,26,859,External,3.4,Photography
IG0000095,2025-09-10 09:25:22.954916,Reel,98620,9501,214,1719,1511037,1762107,1814,23,576,Profile,6.25,Technology
IG0000096,2025-02-01 09:25:22.954916,Reel,21554,2059,1984,4730,1952764,1969648,160,19,682,Home Feed,1.54,Photography
IG0000097,2024-11-21 09:25:22.954916,Photo,161614,6644,2604,14819,30428,411145,1207,14,534,External,45.16,Comedy
IG0000098,2024-12-18 09:25:22.954916,Video,184536,826,2215,7962,452418,582844,371,17,914,Hashtags,33.55,Technology
IG0000099,2025-01-31 09:25:22.954916,Photo,126446,2264,1694,1253,1273005,1333809,649,0,340,Hashtags,9.87,Comedy
IG0000100,2024-11-21 09:25:22.954916,Video,192838,9209,3916,4460,891372,1179545,1233,12,335,External,17.84,Beauty
IG0000101,2025-02-18 09:25:22.954916,Photo,181564,787,2880,8201,559188,742288,767,7,31,Home Feed,26.06,Travel
IG0000102,2025-06-16 09:25:22.954916,Video,79103,6492,3257,12182,1233808,1600479,1449,12,445,Home Feed,6.31,Fashion
IG0000103,2024-12-19 09:25:22.954916,Photo,188854,886,2611,1718,393280,833126,181,19,105,Explore,23.29,Technology
IG0000104,2025-11-16 09:25:22.954916,Photo,27630,9481,2569,13511,482142,763035,976,11,905,Profile,6.97,Technology
IG0000105,2025-01-26 09:25:22.954916,Reel,191217,3398,4496,6445,1312951,1733118,1801,23,934,Reels Feed,11.86,Beauty
IG0000106,2025-03-11 09:25:22.954916,Carousel,87108,4315,358,13138,1025653,1415280,511,30,205,Profile,7.41,Music
IG0000107,2025-06-29 09:25:22.954916,Carousel,56225,247,3854,12530,1546578,1988473,1832,24,975,External,3.66,Food
IG0000108,2025-06-02 09:25:22.954916,Carousel,183586,8390,2031,7374,929139,1351603,232,5,442,Hashtags,14.9,Beauty
IG0000109,2025-06-26 09:25:22.954916,Reel,156172,3538,727,11248,616730,832190,971,24,170,Home Feed,20.63,Lifestyle
IG0000110,2025-03-28 09:25:22.954916,Reel,98038,1812,4909,8253,729344,806233,1235,26,842,Home Feed,14.02,Food
IG0000111,2025-04-07 09:25:22.954916,Video,125095,48,1024,3457,1172580,1575062,435,20,724,External,8.23,Fashion
IG0000112,2025-08-15 09:25:22.954916,Photo,131540,6006,4281,2057,497056,878382,1122,17,109,Hashtags,16.38,Food
IG0000113,2025-04-30 09:25:22.954916,Carousel,20835,5179,2336,14405,1797356,1976451,693,10,41,Explore,2.16,Music
IG0000114,2025-03-05 09:25:22.954916,Photo,172907,5971,4507,9979,659383,1003706,797,21,71,Explore,19.27,Food
IG0000115,2025-05-12 09:25:22.954916,Carousel,112677,9911,446,3268,732450,1116057,2076,1,151,Explore,11.32,Fashion
IG0000116,2025-02-05 09:25:22.954916,Photo,141901,3362,1679,13327,1979483,2274387,2141,14,444,Reels Feed,7.05,Music
IG0000117,2025-07-29 09:25:22.954916,Video,188652,1878,1122,13462,26232,306665,1386,7,964,External,66.89,Photography
IG0000118,2025-04-30 09:25:22.954916,Photo,125362,4667,4311,9556,913327,1007240,1159,6,95,Reels Feed,14.29,Technology
IG0000119,2025-03-10 09:25:22.954916,Photo,198873,7025,713,1483,681346,1132193,1278,14,495,External,18.38,Technology
IG0000120,2025-04-20 09:25:22.954916,Photo,105175,2900,1311,4059,492754,592063,704,12,881,Reels Feed,19.16,Comedy
IG0000121,2025-06-24 09:25:22.954916,Video,106243,5998,3962,9589,170468,170810,1884,29,88,Reels Feed,73.64,Photography
IG0000122,2024-12-22 09:25:22.954916,Photo,8278,8409,3444,6566,3533,206205,750,19,291,Hashtags,12.95,Photography
IG0000123,2025-10-30 09:25:22.954916,Reel,155651,1008,2354,13922,1241485,1535684,1284,14,196,Reels Feed,11.26,Food
IG0000124,2025-10-10 09:25:22.954916,Photo,29119,3053,3059,4117,391124,678377,2182,11,762,Reels Feed,5.8,Technology
IG0000125,2025-06-14 09:25:22.954916,Video,92077,5213,560,2688,773023,857066,2091,16,313,Reels Feed,11.73,Fashion
IG0000126,2025-09-24 09:25:22.954916,Video,164084,6443,579,4113,1305598,1792580,1540,2,817,Explore,9.77,Fitness
IG0000127,2025-06-07 09:25:22.954916,Carousel,75323,314,2543,1038,397890,842626,2146,14,755,Explore,9.4,Fitness
IG0000128,2025-07-13 09:25:22.954916,Photo,77733,7827,4545,2868,1069988,1403140,335,2,594,Home Feed,6.63,Music
IG0000129,2024-12-13 09:25:22.954916,Photo,107334,5737,2054,2492,958579,1212180,1143,0,314,Reels Feed,9.7,Technology
IG0000130,2025-08-14 09:25:22.954916,Video,66481,9669,4250,9776,179446,237877,619,12,622,Hashtags,37.91,Technology
IG0000131,2024-11-24 09:25:22.954916,Photo,106325,564,3324,4707,609657,857701,430,9,423,Profile,13.4,Fitness
IG0000132,2025-10-02 09:25:22.954916,Photo,120220,8553,1481,14009,865197,963760,1902,21,308,Home Feed,14.97,Technology
IG0000133,2025-09-29 09:25:22.954916,Video,42971,4204,3072,14108,1781834,2032531,2196,27,998,External,3.17,Food
IG0000134,2025-04-29 09:25:22.954916,Photo,149861,8529,4536,8564,1130190,1434349,1577,18,132,Explore,11.96,Lifestyle
IG0000135,2025-02-04 09:25:22.954916,Reel,6544,6524,2842,10643,272538,532021,932,23,934,Reels Feed,4.99,Travel
IG0000136,2025-04-10 09:25:22.954916,Video,159079,4144,3376,8275,1316167,1403833,1587,19,980,Explore,12.46,Photography
IG0000137,2024-12-07 09:25:22.954916,Video,30825,904,3935,3872,1760549,1956853,917,6,473,Profile,2.02,Comedy
IG0000138,2025-06-11 09:25:22.954916,Reel,82728,3568,3728,9882,1606129,1845474,2054,30,372,External,5.41,Music
IG0000139,2025-08-31 09:25:22.954916,Carousel,112420,3292,1416,167,1830574,1848880,518,11,189,Home Feed,6.34,Lifestyle
IG0000140,2025-08-21 09:25:22.954916,Reel,184138,8493,4629,5929,1284686,1689532,1446,20,337,Hashtags,12.03,Fitness
IG0000141,2025-01-20 09:25:22.954916,Photo,79883,8961,927,12631,1471401,1769818,933,1,622,Hashtags,5.79,Photography
IG0000142,2025-04-25 09:25:22.954916,Photo,94825,7170,2268,9313,1484988,1737695,371,17,144,Hashtags,6.54,Technology
IG0000143,2025-05-25 09:25:22.954916,Video,173,8780,2633,2584,305909,670468,909,26,738,Hashtags,2.11,Comedy
IG0000144,2025-01-11 09:25:22.954916,Carousel,109921,4198,2191,5713,1591949,1596080,1412,13,331,Explore,7.65,Technology
IG0000145,2024-12-06 09:25:22.954916,Photo,24424,2637,2398,12097,958324,1327831,564,5,59,External,3.13,Fashion
IG0000146,2025-11-08 09:25:22.954916,Photo,71608,7462,433,9154,819378,1070379,318,28,851,External,8.28,Fashion
IG0000147,2025-08-08 09:25:22.954916,Carousel,182434,7859,27,4731,1428502,1747252,784,19,345,Reels Feed,11.16,Comedy
IG0000148,2025-10-01 09:25:22.954916,Video,95509,6295,258,10755,876963,1241978,1304,14,740,Profile,9.08,Comedy
IG0000149,2025-06-19 09:25:22.954916,Reel,135425,4046,3037,1064,598868,743367,2122,3,59,Home Feed,19.31,Fitness
IG0000150,2025-07-18 09:25:22.954916,Photo,27095,2476,4934,14737,1983868,2439839,2011,7,265,Hashtags,2.02,Comedy
IG0000151,2025-04-23 09:25:22.954916,Video,133491,4282,4741,10767,976154,1152275,1771,11,912,Explore,13.3,Food
IG0000152,2025-06-19 09:25:22.954916,Carousel,172245,9740,2089,349,1745042,1778596,330,7,511,Profile,10.37,Technology
IG0000153,2025-09-04 09:25:22.954916,Reel,186969,7466,1905,5084,442302,736054,1241,3,78,Hashtags,27.37,Lifestyle
IG0000154,2025-06-25 09:25:22.954916,Carousel,156102,3713,680,13674,373156,625443,838,10,346,Hashtags,27.85,Beauty
IG0000155,2024-12-17 09:25:22.954916,Photo,107713,4603,4570,6585,1604853,1961630,1544,4,40,Profile,6.29,Comedy
IG0000156,2025-05-17 09:25:22.954916,Video,165728,7755,3244,11242,131887,261027,1144,18,908,Profile,72.01,Music
IG0000157,2025-09-27 09:25:22.954916,Video,145669,2901,4194,3756,1180015,1191259,1059,24,282,Explore,13.14,Fashion
IG0000158,2025-05-20 09:25:22.954916,Video,199705,334,4195,14154,462462,739697,1359,5,474,Profile,29.52,Food
IG0000159,2025-09-05 09:25:22.954916,Video,23488,4135,1231,253,948897,1036538,1689,17,142,Reels Feed,2.81,Photography
IG0000160,2025-06-20 09:25:22.954916,Carousel,76948,2419,2742,3811,3190,21115,1620,26,840,External,406.91,Beauty
IG0000161,2025-09-01 09:25:22.954916,Photo,38176,9354,3953,8597,1045076,1255368,1312,15,59,Explore,4.79,Lifestyle
IG0000162,2024-12-23 09:25:22.954916,Video,8111,4291,4296,8224,1442988,1790156,1802,0,459,Reels Feed,1.39,Beauty
IG0000163,2025-09-28 09:25:22.954916,Video,154462,8482,3068,1260,1210347,1434526,1193,4,866,Reels Feed,11.66,Comedy
IG0000164,2025-02-07 09:25:22.954916,Video,99584,1708,3346,11986,1539906,1759483,166,11,646,Explore,6.63,Fitness
IG0000165,2025-05-06 09:25:22.954916,Reel,53192,667,429,11352,1076486,1469300,769,20,363,Explore,4.47,Fashion
IG0000166,2025-08-27 09:25:22.954916,Carousel,80156,9626,300,1786,865393,1040081,91,17,644,Home Feed,8.83,Fashion
IG0000167,2025-09-11 09:25:22.954916,Video,85508,4309,4829,8868,373817,462180,174,14,866,Reels Feed,22.4,Photography
IG0000168,2025-01-02 09:25:22.954916,Reel,153130,9023,1136,2860,1422456,1811431,800,2,837,External,9.17,Fitness
IG0000169,2025-02-19 09:25:22.954916,Video,23084,374,1088,9137,1563977,1796651,1757,16,758,Hashtags,1.87,Technology
IG0000170,2024-12-26 09:25:22.954916,Photo,126872,5535,4962,7642,1089602,1150796,1583,25,919,Hashtags,12.6,Travel
IG0000171,2025-06-05 09:25:22.954916,Carousel,153296,7983,865,3031,1641449,1744228,1444,27,797,Home Feed,9.47,Food
IG0000172,2025-06-05 09:25:22.954916,Photo,74575,2599,4578,6963,822315,969699,367,30,15,Hashtags,9.15,Fashion
IG0000173,2025-02-23 09:25:22.954916,Reel,160316,1005,4459,8609,1622157,1696460,1379,18,610,Explore,10.28,Music
IG0000174,2025-11-14 09:25:22.954916,Reel,12903,119,2251,4502,225578,461171,1130,17,200,Explore,4.29,Fashion
IG0000175,2025-02-14 09:25:22.954916,Reel,29054,5374,4683,1048,1463852,1957487,440,8,682,Profile,2.05,Beauty
IG0000176,2025-04-27 09:25:22.954916,Carousel,152979,5891,2221,5926,1358004,1724189,265,21,898,Home Feed,9.69,Fashion
IG0000177,2024-12-26 09:25:22.954916,Photo,177048,4233,3505,1907,781644,1248092,1568,29,930,Profile,14.96,Fashion
IG0000178,2024-12-31 09:25:22.954916,Carousel,145431,4225,670,4284,382237,520857,508,20,332,Hashtags,29.68,Travel
IG0000179,2025-04-27 09:25:22.954916,Video,67523,7239,3078,11494,1016775,1276916,619,14,248,Reels Feed,7.0,Travel
IG0000180,2025-03-15 09:25:22.954916,Reel,132268,7024,4110,13545,564794,1017136,1020,19,90,Home Feed,15.43,Lifestyle
IG0000181,2025-07-25 09:25:22.954916,Reel,103709,1440,3435,3460,1867121,1953730,1325,11,671,External,5.73,Technology
IG0000182,2025-05-17 09:25:22.954916,Reel,171391,8510,4596,4872,1094651,1117152,1935,3,921,Home Feed,16.95,Music
IG0000183,2025-11-17 09:25:22.954916,Photo,134431,7759,636,9377,194249,601903,742,24,802,Explore,25.29,Fashion
IG0000184,2025-09-01 09:25:22.954916,Carousel,129104,9610,2475,9648,463019,759688,1429,6,193,Reels Feed,19.86,Fashion
IG0000185,2025-10-01 09:25:22.954916,Video,151164,2342,1458,11149,910035,953172,992,12,750,External,17.43,Food
IG0000186,2025-02-27 09:25:22.954916,Carousel,15606,4809,2093,6403,62169,224066,1311,25,345,Explore,12.9,Travel
IG0000187,2024-11-29 09:25:22.954916,Carousel,173092,4033,4409,4271,367569,437879,1526,18,152,Hashtags,42.43,Music
IG0000188,2025-06-06 09:25:22.954916,Carousel,102665,2940,2885,10389,1061889,1338694,1223,24,273,Reels Feed,8.88,Photography
IG0000189,2025-10-21 09:25:22.954916,Photo,65978,8221,4077,26,724593,1049732,415,20,387,Explore,7.46,Lifestyle
IG0000190,2025-11-01 09:25:22.954916,Reel,73562,5761,1911,6086,1427095,1717143,2168,25,761,Profile,5.09,Technology
IG0000191,2025-03-01 09:25:22.954916,Reel,166204,4832,4236,7952,902667,1103232,387,26,9,Hashtags,16.61,Fitness
IG0000192,2025-11-07 09:25:22.954916,Photo,68109,1447,2839,14565,170163,253169,1181,29,712,External,34.35,Technology
IG0000193,2025-07-27 09:25:22.954916,Carousel,49797,9967,2832,7743,1746076,2120937,943,5,474,External,3.32,Beauty
IG0000194,2025-01-18 09:25:22.954916,Photo,182215,9131,2745,14402,78763,233395,1719,0,274,Home Feed,89.33,Fashion
IG0000195,2025-02-22 09:25:22.954916,Reel,84905,2416,3114,9150,1409679,1430471,1108,17,103,Hashtags,6.96,Lifestyle
IG0000196,2025-03-18 09:25:22.954916,Video,123388,4976,169,4745,1853770,1944635,547,17,891,Profile,6.85,Beauty
IG0000197,2025-03-12 09:25:22.954916,Video,197202,610,1973,8267,149883,286496,332,5,483,External,72.62,Music
IG0000198,2024-12-11 09:25:22.954916,Video,90898,1650,3656,2465,1177648,1312242,771,6,296,Home Feed,7.52,Fitness
IG0000199,2025-01-25 09:25:22.954916,Video,140965,3336,2576,10509,24574,160467,1898,21,720,Hashtags,98.08,Travel
IG0000200,2025-01-09 09:25:22.954916,Carousel,145549,6519,149,2469,382768,384081,123,5,826,External,40.27,Lifestyle
IG0000201,2025-10-08 09:25:22.954916,Photo,160136,2665,3655,6984,372334,709007,1315,14,154,Hashtags,24.46,Lifestyle
IG0000202,2025-01-10 09:25:22.954916,Carousel,32829,6896,135,13602,1550648,1856571,1084,17,660,Home Feed,2.88,Fashion
IG0000203,2025-01-27 09:25:22.954916,Reel,173554,6449,1179,8912,1310536,1324629,2093,8,529,Hashtags,14.35,Comedy
IG0000204,2025-04-22 09:25:22.954916,Photo,119754,7739,138,14835,417654,462782,1038,13,70,Reels Feed,30.78,Lifestyle
IG0000205,2025-08-14 09:25:22.954916,Photo,115114,6911,2594,3198,498185,722381,1274,25,252,Hashtags,17.69,Food
IG0000206,2025-06-28 09:25:22.954916,Carousel,174274,6140,201,7190,1254268,1522459,196,0,104,Home Feed,12.34,Fitness
IG0000207,2024-11-30 09:25:22.954916,Video,154813,4743,2259,4015,1056648,1456340,948,9,625,Profile,11.39,Fitness
IG0000208,2025-04-02 09:25:22.954916,Carousel,43118,9260,1546,4335,364330,515262,211,19,391,External,11.31,Food
IG0000209,2025-05-14 09:25:22.954916,Photo,41352,9500,2918,13385,959539,1048046,941,13,556,Explore,6.41,Photography
IG0000210,2025-03-31 09:25:22.954916,Reel,153298,5227,4128,12798,145584,513138,1502,5,332,Home Feed,34.19,Food
IG0000211,2025-03-14 09:25:22.954916,Video,142534,1844,1364,12461,688375,912478,1141,22,860,External,17.34,Food
IG0000212,2025-05-25 09:25:22.954916,Photo,153505,1605,658,2008,1698721,1788686,811,5,241,Profile,8.82,Fitness
IG0000213,2025-09-04 09:25:22.954916,Carousel,189790,9309,2846,5761,1491217,1894495,1898,23,376,Profile,10.96,Technology
IG0000214,2025-07-30 09:25:22.954916,Carousel,191534,4007,4040,1707,1431899,1639530,908,26,14,External,12.28,Fitness
